email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69421179
,consulate general,France,Fort-de-France,,,,http://www.wikidata.org/entity/Q16507627
,embassy,Taiwan,Taipei,,,https://www.sluembassy.tw/,http://www.wikidata.org/entity/Q111162448
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q15378843
,embassy,United States of America,"Washington, D.C.",,,https://www.embassyofstlucia.org,http://www.wikidata.org/entity/Q106822153
