email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q16303670
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105339594
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q106457864
