email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,,http://www.wikidata.org/entity/Q106512355
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q70004531
,high commission,Fiji,Suva,,,https://vanuatuhighcomm-fj.gov.vu/,http://www.wikidata.org/entity/Q105488491
,consulate general,France,Noumea,,,,http://www.wikidata.org/entity/Q16543733
,high commission,New Zealand,Wellington,,,,http://www.wikidata.org/entity/Q111900499
,consulate general,People's Republic of China,Shanghai,,,,http://www.wikidata.org/entity/Q119330768
